Product ID,Level,Name,Status,URL,First Available Month,Latest Available Month,Science Team,Description,Keywords
DP1.20072.001,1,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams",Available,https://data.neonscience.org/data-products/DP1.20072.001,2013-06,2024-08,Aquatic Observation System (AOS),"Point counts of aquatic plants, bryophytes, lichens, and macroalgae from transects in wadeable streams",
DP1.00036.001,1,Atmospheric CO2 isotopes,Available,https://data.neonscience.org/data-products/DP1.00036.001,2016-12,2024-08,Terrestrial Instrument System (TIS),"Profile measurements of CO2 isotope concentration, 13C stable isotope ratio in CO2, and water vapor concentration at each tower level.",
DP1.00037.001,1,Atmospheric H2O isotopes,Available,https://data.neonscience.org/data-products/DP1.00037.001,2016-12,2024-08,Terrestrial Instrument System (TIS),"Profile measurements of water vapor isotope concentration, 18O and 2H stable isotope ratio in water vapor at each tower level.",
DP1.00004.001,1,Barometric pressure,Available,https://data.neonscience.org/data-products/DP1.00004.001,2013-12,2024-08,Terrestrial Instrument System (TIS),"Barometric pressure is available as one- and thirty-minute averages for station pressure, which is determined from 0.1 Hz observations. Barometric pressure corrected to sea level and surface level (defined as water surface at aquatic sites and soil surface at terrestrial sites) is derived from station pressure averages and available at one- and thirty-minute increments. Observations are made by a single digital barometer located on the tower infrastructure and a single digital barometer located on the aquatic meteorological station.",
DP1.20004.001,1,Barometric pressure above water on-buoy,Available,https://data.neonscience.org/data-products/DP1.20004.001,2017-08,2024-08,Aquatic Instrument System (AIS),"Barometric pressure, available as one-minute instantaneous measurements and thirty-minute averages for both station pressure and pressure reduced to sea level. Observations are made on the meteorology station on the buoy in lakes and rivers.",
DP4.00132.001,4,Bathymetric and morphological maps,Available,https://data.neonscience.org/data-products/DP4.00132.001,2015-07,2024-09,Aquatic Observation System (AOS),"Bathymetry of lake bottoms and non-wadeable streams for detecting environmental change as well as for determining lake morphology, estimating primary productivity, habitat features, and water quality.",
DP1.20086.001,1,Benthic microbe community composition,Available,https://data.neonscience.org/data-products/DP1.20086.001,2014-07,2018-10,Aquatic Observation System (AOS),"Counts and relative abundances of archaeal, bacterial, and fungal taxa observed in benthic microbial communities from wadeable streams",
DP1.20277.001,1,Benthic microbe group abundances,Available,https://data.neonscience.org/data-products/DP1.20277.001,2014-07,2024-03,Aquatic Observation System (AOS),"Counts and relative abundances of marker genes from total archaea, bacteria, and fungi observed by qPCR in benthic microbial communities",
DP1.20280.001,1,Benthic microbe marker gene sequences,Available,https://data.neonscience.org/data-products/DP1.20280.001,2014-07,2024-08,Aquatic Observation System (AOS),DNA sequence data from ribosomal RNA marker genes from benthic samples,
DP1.20279.001,1,Benthic microbe metagenome sequences,Available,https://data.neonscience.org/data-products/DP1.20279.001,2015-02,2022-09,Aquatic Observation System (AOS),Metagenomic sequence data from benthic samples,
DP1.10003.001,1,Breeding landbird point counts,Available,https://data.neonscience.org/data-products/DP1.10003.001,2013-06,2024-03,Terrestrial Observation System (TOS),"Count, distance from observer, and taxonomic identification of breeding landbirds observed during point counts",
DP4.00200.001,4,Bundled data products - eddy covariance,Available,https://data.neonscience.org/data-products/DP4.00200.001,2016-12,2024-08,Terrestrial Instrument System (TIS),"Bundle of eddy-covariance data products, including related meteorological and soil data products.",
DP2.30022.001,2,Canopy lignin - flightline SUSPENDED,Coming Soon,https://data.neonscience.org/data-products/DP2.30022.001,,,Airborne Observation Platform (AOP),Normalized index of canopy lignin concentration; data are provided by flightline. Please note this product is currently suspended pending improvements to the underlying algorithm.,
DP3.30022.001,3,Canopy lignin - mosaic SUSPENDED,Coming Soon,https://data.neonscience.org/data-products/DP3.30022.001,,,Airborne Observation Platform (AOP),Normalized index of canopy lignin concentration. Level 2 products derived from individual flight lines over a given site are mosaiced into single product; spatial resolution is 1m. Please note this product is currently suspended pending improvements to the underlying algorithm.,
DP2.30018.001,2,Canopy nitrogen - flightline SUSPENDED,Coming Soon,https://data.neonscience.org/data-products/DP2.30018.001,,,Airborne Observation Platform (AOP),Normalized difference nitrogen index (NDNI) from remotely sensed data; data are provided by flightline. Please note this product is currently suspended pending improvements to the underlying algorithm.,
DP3.30018.001,3,Canopy nitrogen - mosaic SUSPENDED,Coming Soon,https://data.neonscience.org/data-products/DP3.30018.001,,,Airborne Observation Platform (AOP),Measure of canopy nitrogen concentration in remotely sensed data. Level 2 products derived from individual flight lines over a given site are mosaicked into single product; spatial resolution is 1m. Please note this product is currently suspended pending improvements to the underlying algorithm.,
DP2.30019.002,2,Canopy water indices - bidirectional flightline,Available,https://data.neonscience.org/data-products/DP2.30019.002,2022-05,2022-10,Airborne Observation Platform (AOP),"Bundled data product, derived from bidirectional surface reflectance (BRDF and topographic corrected, DP1.30006.002) containing commonly used indices that describe canopy water content. Indices in this data product include Moisture Stress Index (MSI), Normalized Difference Infrared Index (NDII), Normalized Difference Water Index (NDWI), Normalized Multi-band Drought Index (NMDI), and Water Band Index (WBI). Data are provided by flight line, with one geotiff (.tif) file per index zipped into a single file.

For vegetation indices derived from directional reflectance, refer to ""Canopy water indices - flightline"" (DP2.30019.001). These data will still be available for earlier collections (pre 2022) until they are re-processed from the bidirectional reflectance data.",
DP3.30019.002,3,Canopy water indices - bidirectional mosaic,Available,https://data.neonscience.org/data-products/DP3.30019.002,2022-05,2022-10,Airborne Observation Platform (AOP),"Bundled data product, derived from bidirectional surface reflectance (DP1.30006.002) containing commonly used indices that describe canopy water content. Indices in this data product include Moisture Stress Index (MSI), Normalized Difference Infrared Index (NDII), Normalized Difference Water Index (NDWI), Normalized Multi-band Drought Index (NMDI), and Water Band Index (WBI). Level 3 data are provided as zipped 1 km by 1 km mosaic tiles.",
DP2.30019.001,2,Canopy water indices - flightline,Available,https://data.neonscience.org/data-products/DP2.30019.001,2013-06,2021-09,Airborne Observation Platform (AOP),"Bundled data product, derived from directional surface reflectance (DP1.30006.001) containing commonly used indices that describe canopy water content. Indices in this data product include Moisture Stress Index (MSI), Normalized Difference Infrared Index (NDII), Normalized Difference Water Index (NDWI), Normalized Multi-band Drought Index (NMDI), and Water Band Index (WBI). 

Starting with data collected in 2022 onward, water indices are derived from the topographic and BRDF corrected reflectance data product (DP1.30006.002), and will be available under an updated data product ID revision number: ""Canopy water indices - bidirectional flightline"" (DP2.30019.002). Water indices derived from directional reflectance will still be available for earlier collections (pre 2022) until they are re-processed with the latest reflectance corrections.",
DP3.30019.001,3,Canopy water indices - mosaic,Available,https://data.neonscience.org/data-products/DP3.30019.001,2013-06,2021-09,Airborne Observation Platform (AOP),"Bundled data product, derived from directional surface reflectance (DP1.30006.001) containing commonly used indices that describe canopy water content. Indices in this data product include Moisture Stress Index (MSI), Normalized Difference Infrared Index (NDII), Normalized Difference Water Index (NDWI), Normalized Multi-band Drought Index (NMDI), and Water Band Index (WBI). Level 3 data are provided as zipped 1 km by 1 km mosaic tiles.

Starting with data collected in 2022 onward, water indices are derived from the topographic and BRDF corrected reflectance data product (DP1.30006.002), and will be available under an updated data product revision number (DP3.30019.002). Water indices derived from directional reflectance will still be available for earlier collections (pre 2022) until they are re-processed with all of the latest reflectance corrections.",
DP2.30020.001,2,Canopy xanthophyll cycle - flightline SUSPENDED,Coming Soon,https://data.neonscience.org/data-products/DP2.30020.001,,,Airborne Observation Platform (AOP),Normalized index of  xanthophyll concentration; data are provided by flightline. Please note this product is currently suspended pending improvements to the underlying algorithm. Previously implemented PRI vegetation index is now included with the Vegetation Indices Data product (NEON.DOM.SITE.DP2.30026.001).,
DP3.30020.001,3,Canopy xanthophyll cycle - mosaic SUSPENDED,Coming Soon,https://data.neonscience.org/data-products/DP3.30020.001,,,Airborne Observation Platform (AOP),Normalized index of  xanthophyll concentration. Level 2 products derived from individual flight lines over a given site are mosaicked into single product; spatial resolution is 1m. Please note this product is currently suspended pending improvements to the underlying algorithm. Previously implemented PRI vegetation index is now included with the Vegetation Indices Data product (NEON.DOM.SITE.DP3.30026.001).,
DP4.00067.001,4,Carbon dioxide flux,Available,https://data.neonscience.org/data-products/DP4.00067.001,2016-12,2024-08,Terrestrial Instrument System (TIS),Carbon dioxide flux of CO2 is estimated based on the eddy covariance technique from sonic anemometer measurements of vertical winds and an IRGA measurement of CO2 concentration and tower profile measurements of CO2 concentration.,
DP1.00030.001,1,CH4 Concentration,Available,https://data.neonscience.org/data-products/DP1.00030.001,2016-12,2024-08,Terrestrial Instrument System (TIS),"Profile measurements of CH4 concentration at each tower level. This data product is bundled into [Bundled data products - eddy covariance](https://data.neonscience.org/data-products/DP4.00200.001) (DP4.00200.001), and is not available as a stand-alone download. Please note that the availability chart is linked to the bundled eddy-covariance data product and does not accurately reflect the availability of the CH4 concentration data product, which is currently available starting from November 2021 and will eventually be available from data collected in July 2021 through present. An enhanced availability chart that will better reflect availability of data products within the bundled file is under development.",
